"Species","Type"
"RHODLAP","12"
"VACCULI","4"
"SALIALA","4"
"ARCTRBR","12"
"CASSTET","12"
"DICRANA","9"
"KAERCAL","11"
"DICRCRS","9"
"VULPTIL","11"
"OXYTCAM","7"
"SILENE","7"
"ARNIGRI1","7"
"SAXIOPP","7"
"GENTPRP","7"
"DRABA","7"
"PEDICAP","7"
"CAPSBUR","7"
"TRIBTER","7"
"SISYLOE","7"
"THLAARV","7"
"TOXIRYD","4"
"IMPANOL","7"
"ADOXMOS","7"
"ERIGPHI","7"
"MATTSTR","5"
"RACOSUD","9"
"SCUTANG","7"
"ERYSCAP","7"
"CAREHOO","6"
"TRIOPER","7"
"CRYPTOR","7"
"VEROVER","7"
"TURRGLA","7"
"TRIFARV","7"
"AULAAND","9"
"SYMPERI1","7"
"ROSAWOO1","4"
"BRACCOL","9"
"COLLGRD","7"
"ERIGDIV","7"
"RUBUCHA","12"
"MYLIANO","10"
"ERIOVIR","6"
"LOMATIU","7"
"HAMAVER","9"
"JUNCPAR","6"
"PODAHUM","6"
"VACCGLO","4"
"LUPIBIN1","7"
"DRABPOR","7"
"CASTOCC","7"
"SELASTA","5"
"CHEROBT","7"
"DRYAOCT","12"
"ARNIANG4","7"
"SABURUB","7"
"CARENAR","6"
"CARERUP","6"
"SMELAME","7"
"MICRNIV","7"
"AGOSGLA1","7"
"BOECCAL","7"
"ELYMVIO","6"
"ARNIGRA","7"
"ARNIRYD","7"
"SYMPFOL2","7"
"ERIGGLC","7"
"ANDROSA","7"
"CALAPUR","6"
"DRABCAN","7"
"PHACSER","7"
"MINUART","7"
"RANUMAC","7"
"AGROVAR","6"
"TONELYA","7"
"CAREENA","6"
"ERIGAUR","7"
"PENSELL","12"
"GYMNINF","10"
"SENELUG","7"
"SALINIV","12"
"BRYODIV","11"
"PEDICON","7"
"HYPESCO","7"
"ARNIANG","7"
"ERIGGLA","7"
"CASTRHE","7"
"TIMMIA","9"
"BRACACT","9"
"AMBRCHA","7"
"CAKIEDE","7"
"LATHJAP","7"
"SAGIMAX2","7"
"SONCASP","7"
"CALANUT","6"
"STACCHA","7"
"SENESYL","7"
"LEYMMOL2","6"
"GLEHLIT","7"
"HORDBRA","6"
"CARECAI","6"
"PEDILAG","7"
"CAMPLAS","7"
"LUZUARU","6"
"CERABEE","7"
"LOBALIN","11"
"RANUNIV","7"
"PEDISUD","7"
"CASTPAR","7"
"BRACTUR","9"
"POLYHES","5"
"HARRSTE","12"
"ENEMSAV","7"
"MICRBOR","7"
"NEPHCRI1","7"
"PRIMJEF","7"
"LIGUCAL","7"
"SWERPER","7"
"GENTDOU","7"
"GENTPLA","7"
"HUPEMIY","5"
"KALMPRO","12"
"CALASES","6"
"CASSLYC","12"
"GEUMCAL","7"
"PLATCHO","7"
"PARAENE","9"
"VIOLBIF","7"
"SPHAPAP","9"
"PEDIORN","7"
"PACKSUB2","7"
"CARECIR","6"
"FRITCAM","7"
"TAKALEP","9"
"ANDRNIV","9"
"CHAMCAL","3"
"ARCTCOO","7"
"CINCSUB","9"
"GYMNBRE","10"
"PINGVUL","7"
"RACOELO","9"
"PLAGASL","10"
"PELTPAC","11"
"ONCOWAH","9"
"LUZUNIV","6"
"LUPINOO","7"
"JUNCNEV","6"
"RACOMIC","9"
"LEPRCAC","11"
"UMBILIA","11"
"CLADHOM","11"
"FLAVCUC","11"
"BAEORUF","11"
"VIOLLAG","7"
"KIAESTA","9"
"SCORREV","9"
"RACOFAS","9"
"SAXIHYP","7"
"TARACER","7"
"RANUSUL","7"
"POTEVIL","7"
"SALIPOL","12"
"PHYSARI","7"
"PELTIGR","11"
"RANUSCE","7"
"PENSGRA","7"
"SALIBAA","4"
"SAXIADS","7"
"GADELAC","7"
"SALIARB","4"
"HEDYSAR","7"
"CLADMET","11"
"LIGUSTI","7"
"PINGVIL","7"
"POLYSIB","5"
"CLADSCA","11"
"SPHAPAL","9"
"SPHAPAC","9"
"BETUNEO","2"
"DACTYLN","11"
"POGONAT","9"
"LEPRNEG","11"
"SAXICES","7"
"LUPILYA","7"
"PENSDAV","12"
"VEROCUS","7"
"LETHARI","11"
"SALICAS","12"
"DRABAUR","7"
"FESTVIR","6"
"DELPMEN","7"
"ARNIPAR","7"
"PELTBRI","11"
"HEUCMIC","7"
"CLADSQU","11"
"ABIEBAL","1"
"CORAMER","8"
"IMPACAP","7"
"LOBAORE","11"
"PORECOR","10"
"ANTITRI","9"
"PLAGVEN","9"
"HOMAFUL","9"
"CALYPOG","10"
"NECKDOU","9"
"PORENAV","10"
"DIPLOPH","10"
"ORTHOTR","9"
"PLAGIOT","9"
"ORTHOTI","9"
"DIPLALB","10"
"NECKMEN","9"
"ORTHOTH","9"
"ULOTA","9"
"ORTHSPE","9"
"CHILOSC","10"
"USNEFIL","11"
"MONOUNI","8"
"HETEROL","9"
"FESTSUB","6"
"PARMHYE","11"
"VULPPIN","11"
"PACKSTR","7"
"CAREILL","6"
"AGROIDA","6"
"BRACHYD","9"
"NASTMIC","7"
"CHRYWRI","7"
"CYSTMON","5"
"HEUCHER","7"
"FLAVOCE","11"
"ANDRRUP","9"
"ARCTALI","12"
"DRYAS","12"
"POTENIV","7"
"CRATONE","9"
"POLEOCC","7"
"BARBORT","7"
"POTENOR","7"
"EURYSIB","7"
"GLYCERI","6"
"CAMASSI","7"
"SPLAAMP","9"
"PTILPUL","10"
"DRYADRU","12"
"ARTEBOR1","7"
"POTEHOO","7"
"ORTHANO","9"
"OXYTSER","7"
"SOLOSAC","11"
"SCHIVEN","9"
"HARPFLO","10"
"CETRERI1","11"
"DACTRAM","11"
"PELTRET","11"
"SYNTPAP","9"
"CAMPHAE","9"
"SOLIDAG","7"
"CLADSTY","11"
"ONCOVIR","9"
"SALIGLA2","4"
"CALASTR1","6"
"TETRMNI","9"
"ARTETIL","7"
"NEPHEXP","11"
"SALIRIC","4"
"CLADPOR1","11"
"DICRMUE","9"
"MICRTOL","7"
"VIOLLAC","7"
"ARABLYT","7"
"ALECSAR","11"
"ROMANZO","7"
"ELYMALA","6"
"PINUCON1","1"
"COELOCA","11"
"POLYPOL","7"
"HYPNSUB","9"
"OXYTNIG","7"
"MASONHA","11"
"OXYTBOR1","7"
"CARESUP","6"
"BOTRYCH","5"
"PELLGLA","5"
"HYDROPH","7"
"LUZUCOM","6"
"DELPHIN","7"
"USNEA","11"
"ASPLTRI2","5"
"NEPHBEL","11"
"NEPHPAR","11"
"NEPHHEL","11"
"PELTCOL","11"
"STACHYS","7"
"RORIPPA","7"
"ARCTIUM","7"
"CAREBEB","6"
"RHINANT","7"
"CARETRI","6"
"HYPOGYM","11"
"CORASTR","8"
"DESCELO","6"
"HUPESEL","5"
"SALILAS2","2"
"JUNCENS","6"
"SALIPRO","4"
"MASORIC","11"
"TEPHLIN","7"
"AULATUR","9"
"SAXIHIR","7"
"CALALAP","6"
"CLAYTON","7"
"ANEMNAR","7"
"CETRCIL","11"
"SAXIFLA","7"
"SAXICER","7"
"FESTMIN","6"
"CLADGRA1","11"
"ARCTLAT","6"
"KOBRSIM","6"
"DICRANO","9"
"PRIMFRI","7"
"MICRNEL","7"
"POTEBIF","7"
"PARNKOT","7"
"KOBRESI","6"
"FESTVII1","6"
"ERIGGRA","7"
"WOODALP","5"
"CRYPSTE","5"
"ASTRUMB","7"
"TOFIPUS","7"
"OLIGHER","9"
"ARNILES","7"
"SAGINA","7"
"TETRSET","10"
"HEDYALP","7"
"OXYTSCA","7"
"DRABLON","7"
"CAREOBT","6"
"OXYTROP","7"
"KOBRSIB","6"
"RHIZAND","9"
"JUNCBIG","6"
"RANUPED","7"
"FESTBAF","6"
"FISSADI","9"
"CARESAX","6"
"DICRVAR","9"
"CARDBEL","7"
"BARTITH","9"
"ALLAALP","11"
"ARCTSUB","11"
"PARMOMP","11"
"BRYUARC","9"
"CRATFIL","9"
"SANIONI","9"
"CAREMEM","6"
"JUNCCAS","6"
"DRABNOV","7"
"ATHYALP1","5"
"HACKMIC","7"
"SYMPFOL3","7"
"SPLAVAS","9"
"TRITEXS","10"
"HYLOPYE","9"
"GENTPRP1","7"
"STELBOR1","7"
"MELAEXS","11"
"OSMOOCC","7"
"VEROANA","7"
"PTILIDI","10"
"PEDIVER","7"
"PARMAMB","11"
"FRULNIS","10"
"CERATOD","9"
"GALETET","7"
"LUZUCAM","6"
"CARELEN","6"
"VEROSER","7"
"RANUABO","7"
"CARESTI","6"
"CERAFON","7"
"CHILPOL","10"
"GEUMMAC5","7"
"CARELAE","6"
"COPTTRI","7"
"MELISMI","6"
"HYPNPRA","9"
"SPHAMAG","9"
"CAREFOE","6"
"SALIMEL","4"
"LICHINA","11"
"CAMPUNI","7"
"ACERMAC","2"
"CAREHEN","6"
"POTARIC","7"
"BROMSQU","6"
"LINAGEN","7"
"HESPCOM","6"
"ARTETRI","4"
"COLLEMA","11"
"PSORA","11"
"UMBIHYP","11"
"JUNCREG","6"
"BRACNEL","9"
"MICRODO","7"
"CLADPOC","11"
"SALIPYR","4"
"ALECTOR","11"
"STREPTO","7"
"THUJA","1"
"HYPOSUO","11"
"PAPAVER","7"
"CAMPAUR","7"
"GOWANIG","11"
"PSORHYP","11"
"PERTSUB","11"
"PHACELI","7"
"RAMATHR","11"
"BRYOCAP","11"
"PRENANT","7"
"VIOLSEM","7"
"PELTVEN","11"
"TYPHLAT","7"
"ANTICAL","9"
"SCHISTI","9"
"GYMNDIS","5"
"GAULHUM","12"
"SCOLFES","6"
"AQUILEG","7"
"FRITAFF","7"
"ERIOPHO","6"
"SPHARUB","9"
"CAREBOL","6"
"LILIPHI","7"
"HUPEOCC","5"
"PTEROSP","8"
"LILIUM","7"
"HYPOMON","8"
"EUPHESU","7"
"SPORCRY","6"
"POGOCON","9"
"BAZZDEN","10"
"BAZZTRI","10"
"SAXIAIZ","7"
"DISTICH","6"
"DISTICI","9"
"CLADSTI","11"
"DICRELO","9"
"DICRMON","9"
"EPILGLA","7"
"DITRICH","9"
"LEPRARI","11"
"TUCKERM","11"
"CYRTHYM","9"
"BRYUWEI","9"
"TORTHOP","9"
"ARTHCIT","11"
"CYNOJEN","9"
"PSORDEC","11"
"CATAPYR","11"
"BRYUPAL","9"
"CETRDEL","11"
"RANUPYG","7"
"SOLOBIS","11"
"ARNIOVA","7"
"CEPHRUB","10"
"GYMNOBT","10"
"ANEMDRU2","7"
"DRABINC","7"
"DRABMAC","7"
"DRABOLI","7"
"POLEELE","7"
"ANTEDEN","7"
"OXYTCAM9","7"
"PELTPON","11"
"ARNIANG1","7"
"LECIWUL","11"
"RINOTUR","11"
"PELTLEP","11"
"XANTWYO","11"
"SOLERUB","10"
"EPILLEP","7"
"PTYCINC","9"
"IPOMAGG","7"
"CHAEDOU","7"
"ARISPUR","6"
"ORTHTEN","7"
"GYPSMAC","11"
"FULGBRA","11"
"PTERYGO","9"
"CATASQA","11"
"ASPIREP","11"
"BUELELE","11"
"CETRISL1","11"
"DICRFLA","9"
"CALACAN4","6"
"PSEUBAI","9"
"SELASCO","5"
"POLEMON","7"
"OCHRUPS","11"
"BRYORIA","11"
"PHYSMUS","11"
"ENCARHA","9"
"CARELUZ1","6"
"COLLCER","11"
"THAMNOL","11"
"CLADMAE","11"
"PHLEUM","6"
"VAHLODE","6"
"THALICT","7"
"CARDUMB","7"
"ANTEMED","7"
"DRABGLA","7"
"POTESUB","7"
"DICRANW","9"
"SELASIB","5"
"SANGUIS","7"
"ANTEHOW","7"
"BOECLYA","7"
"PHYLLOD","12"
"DICRCIR","9"
"ENCAPRO","9"
"SALIPER","12"
"DRABDEN","7"
"ERIOOVA","7"
"DICRANE","9"
"LEPRINC","11"
"MICRNEL1","7"
"AMBLSER1","9"
"ANTHELI","10"
"SPHACEN","9"
"ANASTRO","10"
"SABUAUS","7"
"LYCOPOE","5"
"CARESCI3","6"
"POTESUG","7"
"LYCOINU","5"
"SPHACOM","9"
"RANUOCC3","7"
"DICRSPA","9"
"CAREUNI","6"
"CLAYSAR","7"
"ARABLYT1","7"
"SPHAGLO","11"
"UMBILIC","11"
"PERTPAN","11"
"ERIGPER2","7"
"DRABBOR","7"
"UTRICUL","7"
"POTEPUL","7"
"ARCTOMI","11"
"DICRCRS3","9"
"DRABJUV","7"
"DRYAINT1","12"
"DITRFLE","9"
"PARNPAR","7"
"DRABCRA","7"
"DRABNIV","7"
"OXYTPOD","7"
"HYPNCUP","9"
"ERIGTRI","7"
"BAZZTRL","10"
"HERBADU","10"
"CAREPLU","6"
"SPHAAUS","9"
"DICRCRI","9"
"ULOTCUR","9"
"LUZUMUL2","6"
"PEDIOED","7"
"SENEFRE","7"
"STEREOA","11"
"PLACULI","11"
"PROTPEZ","11"
"BRYUALP","9"
"HIERLAC","7"
"RUBUURS","12"
"POGOURN","9"
"PLANLAN","7"
"HYPORAD","7"
"ERIOLAN","7"
"SCHEPRA","6"
"CLINDOU","7"
"HOLCLAN","6"
"FESTSUU","6"
"BROMPAC","6"
"ARCTCOL","3"
"AIRAPRA","6"
"ARBUMEN","2"
"FRAGCHI","7"
"HEMICON","8"
"FONTANT","9"
"ERYTREV","7"
"TOLMMEN","7"
"CARDNUT","7"
"CORYSCO","7"
"ARTESUK","7"
"ERYTORE","7"
"PSEUELE","9"
"ANEMLYA","7"
"CLADGRA3","11"
"GERAROB","7"
"BOYKOCC","7"
"CORNNUT","2"
"RIBESAN","4"
"OEMLCER","4"
"LEPIREP","10"
"ILEXAQU","3"
"VACCOVT","3"
"RIBEDIV","4"
"PECTOVA","7"
"CHIMMEN","12"
"POHLCAR","9"
"PELTKRI","11"
"PERTDAC","11"
"PARNASS","7"
"RUMELAP","7"
"ARTEMIC","7"
"DRABCIN","7"
"EQUITEL","5"
"ANGELUC","7"
"AGROSTO","6"
"SCOULER","9"
"CAREHIN","6"
"RANUFLA","7"
"TRIAOCC","7"
"ASTRAME","7"
"PELTCIN","11"
"CLADDIG","11"
"SAXITAY","7"
"JUNCARC","6"
"NARDIA","10"
"SPHARUI","9"
"PROSSMI","7"
"POLYSTI","5"
"MARSUPE","10"
"TRICALP","6"
"TETRGEN","9"
"BAZZANI","10"
"LOPHHET","10"
"POLYACH","7"
"BETUGLA","4"
"DICRASP","9"
"GYMNOCA","5"
"BRACFRI","9"
"RHIZGRA","11"
"COPTLAP","7"
"THELLAC","7"
"CORNSUE","7"
"DICRCER","9"
"PLEUROI","9"
"VIOLNEP","7"
"KOPSHOO","7"
"CLAVARI","11"
"CARDOCC","7"
"SANISYM","9"
"GERANIU","7"
"DIPLOSC","11"
"ERIGNIV","7"
"OXYTCAM6","7"
"EUPHSUB","7"
"BRACREF1","9"
"CAREKRA","6"
"LACTUCA","7"
"LUZUCON","6"
"OXYTHUD","7"
"SAXIBRO2","7"
"UMBIPRO","11"
"EUTREDW","7"
"CARESCI1","6"
"CAREFUL","6"
"MNIUTHO","9"
"POLEVIS","7"
"CLAOCRI","9"
"PAPAPYG","7"
"PHACLYA","7"
"ASTRBOU","7"
"CAREPAY","6"
"CAREMIO","6"
"SIPHCER","11"
"CAMPATR","9"
"SANGOFF","7"
"MYRIGAL","4"
"GENTSCE","7"
"CARELIV","6"
"CORNUNA","7"
"EURHYNC","9"
"SPHAMAJ","9"
"DOUIPLI","10"
"PLAGDEN","9"
"FRULLAN","10"
"ERIOGRA","6"
"ALNUS","0"
"PRENSAG","7"
"SORBUS","4"
"NEOOATT","10"
"CYPRIPE","7"
"ARABIDO","7"
"SCAPPAL","10"
"CAMPCHY","9"
"PLAGCAV","9"
"BACIDIA","11"
"LUPIPOC","7"
"DRYOPTE","5"
"HYPNCAL","9"
"PLATGLA","11"
"CALYAZU","10"
"RAMADIL","11"
"SAMBUCU","4"
"SPLACHN","9"
"PYROGRA","7"
"RHODTOM1","3"
"HYPOENT","11"
"PELTELI","11"
"ERIGGLC1","7"
"VACCMAC","12"
"DICHOLI","6"
"HESPSPA","6"
"HYLOCOM","9"
"SHEPHER","4"
"LYCOAME","7"
"DICENTR","7"
"CARELAP","6"
"PETASIT","7"
"PERTUSA","11"
"SCORSCO","9"
"JUNCTRI","6"
"JUNCTRI1","6"
"RHUSGLA","4"
"OROBFAS","8"
"ACMIAME1","7"
"RHODOBR","9"
"SCLEANN","7"
"BRACCAM","9"
"BRACCAL","9"
"SANIARC","7"
"PLANELO","7"
"AGROMIC","6"
"MONTFON","7"
"TRIPPUS","7"
"CERANUT","7"
"SPERRUB","7"
"MICRBIG","7"
"LUPIBIC","7"
"TRITHYA","7"
"LEONSAX2","7"
"TRIFMIR","7"
"VULPBRO","6"
"ALLIACU","7"
"TRIFDUB","7"
"SANICRA","7"
"CAMALEI","7"
"TRIFWID","7"
"LOMANUD","7"
"ARMEMAR","7"
"AIRACAR","6"
"GERAMOL","7"
"ERODCIC","7"
"CALACIL","7"
"CERASEM","7"
"SHERARV","7"
"BRYUMIN","9"
"HOSAGRA","7"
"VICISAT","7"
"VICIHIR","7"
"CRATMON","4"
"MYOSDIS","7"
"DAPHLAU","3"
"SILEGAL","7"
"CASTLEV","7"
"AGROPAL","6"
"HEDEHEL","3"
"LEPTOGI","11"
"ROMATRA","7"
"SEDUSPA","7"
"CAMAQUA","7"
"ACMIMIC","7"
"GERADIS","7"
"HORDMUR","6"
"LUPIDEN","7"
"SANIBIP","7"
"MEDICAG","7"
"ESCHCAL","7"
"MOENERE","7"
"CYTISCO","4"
"BROMSTE","6"
"LEPIDIU","7"
"CARELEP","6"
"LUPIARB","7"
"LOMAUTR","7"
"TRAGPOR","7"
"APHAARV","7"
"CAREINO","6"
"OROBUNI","8"
"RANUCAL","7"
"SILESCO","7"
"BELLPER","7"
"CAREBRV","6"
"TRIFVAR","7"
"NEMOPED","7"
"DAUCPUS","7"
"LUPILIT","7"
"PLANMAR","7"
"SPERMAC","7"
"ISOENUT","5"
"TEESNUD","7"
"DICHACU","6"
"HYPOGLA","7"
"LEPTMII","7"
"GAMOUST","7"
"QUERGAR","2"
"LEYMMOL","6"
"SAGIPRO","7"
"PUCCNUT","6"
"SCORAUT","7"
"NEMOPAR","7"
"SAGIDEC","7"
"CEPHALZ","10"
"JUNCBUF","6"
"ISOTCRI","9"
"PLECMAC","7"
"PLAGSCO","7"
"CARETUM","6"
"BROMRAC","6"
"STELCRA","7"
"ALLIAMP","7"
"SAGIAPE","7"
"ANISMAD","7"
"PLECCON","7"
"TRIFSUB","7"
"PRIMHEN","7"
"MYOSVER","7"
"JUNCTEN","6"
"RANUORT","7"
"CAREPAN","6"
"LEPIHET","7"
"HETERAI","7"
"SYMPHES","4"
"TRIEBOR","7"
"ULEXEUR","3"
"SPHAGNA","9"
"POLYSPO","11"
"DICHPEL","9"
"LUPIPOY","7"
"MYOSSYL","7"
"ERIGANN","7"
"THUIDIA","9"
"CETRNIG","11"
"PTILIUM","9"
"BOTRMIN","5"
"TOMEFAL","9"
"SELASEL","5"
"CAREGLA","6"
"SPIRDOU3","4"
"CYNOECH","6"
"TRACMEG","9"
"FESTROE1","6"
"TRIFOLG","7"
"TRIFMIC","7"
"ACHNLEM1","6"
"TORIARV","7"
"CLARAMO1","7"
"MELIHAR","6"
"LONIHIS","4"
"PENTTRI","5"
"YABEMIC","7"
"DREPLON","9"
"ACTAEA","7"
"CAREDOU","6"
"SPIRDOU4","4"
"DIPLMUS","11"
"NASSVIR","6"
"SPARGAN","7"
"POTAGRA","7"
"GLYCBOR","6"
"RANUAQU","7"
"CALLHET","7"
"UTRIMIN","7"
"CARYOPH","7"
"SYMPBRA","7"
"SCHOACU","6"
"POTAPUS5","7"
"SPAREME","7"
"POTAZOS","7"
"RANUAQU5","7"
"POTAPUS","7"
"POTANAT","7"
"CERAFON2","7"
"SCHEARU","6"
"CLAOBOL","9"
"LINUM","7"
"SUAECAL","7"
"PUCCNUA","6"
"PSEUTUR","9"
"SENEHYR","7"
"RANUFLM","7"
"PLATDIL2","7"
"CALACAN1","6"
"DROSERA","7"
"POLYSET","5"
"SAXIMER","7"
"GRIMLON","9"
"DICRMAJ","9"
"PICESIX","1"
"CETRLAE","11"
"PRIMCUN","7"
"GYMNCOT","5"
"DOUGALA","7"
"DOUGGOR","7"
"ASTRNUT","7"
"PSEUDEH","11"
"SILEDRU","7"
"POLEBOR","7"
"ANTHJUL","10"
"RHODINT1","7"
"LINULEW","7"
"PETAFRI1","7"
"EPILCLA","7"
"CORYPAU","7"
"PLEUPUR","10"
"OLIGOTR","9"
"CARESTY","6"
"MYLIA","10"
"CLADPAR","11"
"DROSANG","7"
"SPHATEN","9"
"JUNCSUP","6"
"ELLIPYR","4"
"PELTCHI","11"
"SPHARIP","9"
"SCHEPAL","7"
"CRASSUL","7"
"HOLODIU","4"
"TSUGHEE","1"
"RACOOCC","9"
"CARELEO","6"
"LILIACE","7"
"ISOTHEC","9"
"PSEUAEN","11"
"AGOSHET","7"
"WOODGLA","5"
"LOMATRI3","7"
"PLATELO","7"
"ELYMLAN2","6"
"DANTUNI","6"
"GRIMRAM","9"
"PTERFIL","9"
"PIPERIA","7"
"CINNA","6"
"DICHOLY","9"
"RACOBRV","9"
"DICRGRO","9"
"UMBIDEU","11"
"PELTDEG","11"
"PEDICON1","7"
"LEPROCA","11"
"PANNPEZ","11"
"CAREPRS","6"
"TIMMNOR","9"
"SCAPULI","10"
"KALMMIC3","12"
"OLIGPAR","9"
"CALTHA","7"
"CARDCOR","7"
"NUPHVAR","7"
"ROSANUT3","4"
"CYPRMON","7"
"PENSFRU2","7"
"HETEPRO","9"
"PSEUMAC","7"
"RUBUARM","4"
"CLADUMB","11"
"CLAYRUB2","7"
"VEROOFF","7"
"VIOLMAL","7"
"SCEPMUL","5"
"ATRICHU","9"
"ROSANUT4","4"
"CORYDAL","7"
"CLADSIN","11"
"TUCKPLA","11"
"LEPTSEP","7"
"GALIBIF","7"
"CYSTOPT","5"
"ACHNNEL1","6"
"SCHIATR","9"
"DREPPOL","9"
"LONITAT","4"
"SPHATER","9"
"TAYLSER","9"
"PSEUATR","9"
"GRIMTRI","9"
"SCAPPAU","10"
"CLADOCH","11"
"CLADGRA2","11"
"CALLITR","7"
"PRIMEGA","7"
"JUNCART","6"
"UTRIINT","7"
"RICCARD","10"
"LACTBIE","7"
"ASCLSPE","7"
"ROSACEA","0"
"CHAMANG2","7"
"MIMULUS","7"
"GEUMALE","7"
"MASSCAR","11"
"MALUS","2"
"NODOBRY","11"
"DIPLOBU","10"
"SCHIPAP","9"
"MADISAT","7"
"ASPLTRI","5"
"CAREINF","6"
"PLAGCIL","9"
"DESCDAN","6"
"VULPMYU","6"
"LONICER","4"
"ORCHIDA","7"
"PIPTEXG","6"
"CAMAQUA2","7"
"APERINT","6"
"TRIFAUR","7"
"MNIACEA","9"
"GRIMATT","9"
"GRIMSES","9"
"AGRIGRY","7"
"UMBIAME","11"
"ENCACIL","9"
"BRYUULI","9"
"CAREKEL","6"
"ASTRCOL","7"
"ORTHLAE","9"
"LILAEA","7"
"PLEUACU","9"
"APOCYNU","7"
"HUPERZI","5"
"HYLOCOA","9"
"TIARELL","7"
"ALLOVIR","8"
"COLLHET","7"
"CORAMAC3","8"
"LEPIDOZ","10"
"COELOGL","7"
"RANUHYP","7"
"CIRSFOL","7"
"SPLACHU","9"
"PSEURAD4","9"
"TSUGA","1"
"MNIUARI","9"
"BUELPAP","11"
"CALYNEE","10"
"STERRIV","11"
"KIAERIA","9"
"ERIGUNI","7"
"KIAEFAL","9"
"SAGISAG","7"
"PERTSUA","11"
"LECANOR","11"
"CINCLID","9"
"OXYTMAY","7"
"RHIZOPL","11"
"TREMATR","11"
"PECTPEN","7"
"CALTLEP2","7"
"BOTRPIN","5"
"RHIZGEO","11"
"GOODYER","7"
"RACOLAW","9"
"RACOMUT","9"
"ANTHODO","6"
"CAMPANU","7"
"ARNILAN","7"
"PAPARAD","7"
"FESTVII","6"
"PHIPALG","6"
"DIDYMOD","9"
"POTEARE","7"
"SILEURA","7"
"BOTRLAN","5"
"ARNILAN1","7"
"POLYTRC","9"
"CARETON","6"
"CAREECH2","6"
"BAZZAMB","10"
"HYGROCH","9"
"BARTRAM","9"
"PSEUSTE","9"
"LESKPOL","9"
"CATAAQU","6"
"PHILONO","9"
"EPILHOR2","7"
"EPILLUT","7"
"KIAEBLY","9"
"SCHIFRI","9"
"BRACVEL1","9"
"ORTHPEU","9"
"RHYTSUB","9"
"CALYSUE","10"
"ISOPPUL","9"
"SALIXFR","4"
"CAMPPRO","9"
"CIRCAEA","7"
"CAREEXS","6"
"CIRRCIR","9"
"COPTIS","7"
"STACMEX","7"
"CALYMUE","10"
"LOMASAN","7"
"SAUSNUD","7"
"SCHIAPO","9"
"CHILPAL","10"
"LYCOPUS","7"
"MANNGRA","10"
"RACOMAC","9"
"MYOSLAX","7"
"SOLORIN","11"
"SYMPHYO","7"
"SISYIDA","7"
"ERIGPUM2","7"
"THININT","6"
"JUNIPER","0"
"TRAGPRA","7"
"GAILLAR","7"
"AGROCRI","6"
"SCROPHU","7"
"ALOPECU","6"
"SPOROBO","6"
"CREPOCC","7"
"OXYTSPL","7"
"FRULHAT","10"
"SPLALUT","9"
"DICRUND","9"
"CYPRPAS","7"
"LARIX","1"
"ERIOVAG","6"
"TRAUTVE","7"
"BOSCROS","8"
"DICRBRE","9"
"PTERIDI","5"
"AHTISPH","11"
"LEPIFIL","10"
"SCAPAME","10"
"CYNOCRI","6"
"CLAYRUB","7"
"CLADCIL","11"
"ODONDEN","10"
"DICRUNC","9"
"MONOTRO","8"
"ELYMGLA4","6"
"BLEPARA","10"
"CALYINT","10"
"SCAPUMB","10"
"ATRIUND","9"
"DICRHET","9"
"KURZPAU","10"
"HERZSTR","9"
"LEPRVOU","11"
"CLADTRA","11"
"PLANMAC","7"
"CORNICU","11"
"HYPOFLA","9"
"SORBAUC","2"
"POLYAND","5"
"FISSIDE","9"
"ANDREAE","9"
"BARBULA","9"
"DIPLSCR","11"
"TRICHOS","9"
"PHLOLON","7"
"OPUNFRA","7"
"SENEINT1","7"
"BUELLIA","11"
"ENCALYP","9"
"DIDYRIG1","9"
"STELNIT","7"
"CAMPSCO","7"
"MOEHMAC","7"
"RADULA","10"
"HOMALIA","9"
"BRACRUT","9"
"KURZIA","10"
"ANTHJUR","10"
"HONKPEP","7"
"LATHLIT","7"
"COCHGRO","7"
"ATRIPAT","7"
"SARCPAC","7"
"LYSIMAR","7"
"BRACHOL","9"
"DRYMCON","7"
"SYNTRIC","9"
"MIMUTIL","7"
"POLYALP2","9"
"SABUELE","7"
"CAMPYLI","9"
"POLYLEM","5"
"BOTRMIC","5"
"EUPHCYP","7"
"PERTGEM","11"
"STELUMB","7"
"STERGRA","11"
"CETRISL2","11"
"GYMNCOR","10"
"BRYONIT","11"
"ENCABRE","9"
"CLADDEC","11"
"SCHISUB","9"
"DERMRIV","11"
"BOECDRE","7"
"APHRESC","7"
"LOESBAD","9"
"BOECLEM","7"
"HYPNDIE","9"
"MONTIA","7"
"PSEUSPI2","6"
"PELTDID2","11"
"CLADALB","11"
"TORRPAL","6"
"POTEANS2","7"
"TANABIP","7"
"CAREMAR","6"
"CAKIMAR","7"
"TRIFCAM","7"
"SOLILEP2","7"
"CALYSEP3","7"
"PUCCPUM","6"
"SPERCAN","7"
"CARELYN","6"
"RUPPMAR","7"
"SISYLIT","7"
"LUZUCOM1","6"
"AMMOARE","6"
"MYURJUL","9"
"POLYAMO","5"
"MENTALB","7"
"LEDUM","3"
"SPHASUS","9"
"DESCURA","7"
"RUBUNIV","12"
"LYSITHY","7"
"LYCHNIS","7"
"COLLOMI","7"
"NAVASQU","7"
"TETRAPH","9"
"CIRSHOO","7"
"ERIGPAL","7"
"PELTOCC","11"
"MARSAQU","10"
"CLADACU","11"
"TAXUS","1"
"MELICA","6"
"CASTATT","7"
