"Species","Type"
"ABIEGRA","1"
"APOCAND","7"
"VIOLA","7"
"JUNISCO","1"
"CLAYCOR","7"
"POPUTRI","2"
"PLAGINS","9"
"LITHRUD","7"
"BROMUS","6"
"LESCURA","9"
"CLADONI","11"
"POLYALI1","9"
"ACERGLA1","4"
"PSEUMEN1","1"
"NEOTBAN","7"
"DICRANU","9"
"PLAGLAE","9"
"EQUIPRA","5"
"GALITRD","7"
"LEPTPYR","7"
"PELTRUF","11"
"MARCPOL","10"
"CALLCOR","9"
"PHILCAP","9"
"GALIUM","7"
"PLATANT","7"
"CALLGIG","9"
"EPILOBI","7"
"TARAXAC","7"
"ARTEMIS","0"
"GENTIAE","7"
"ATRISEL","9"
"DICRPAI","9"
"POLYLYA","9"
"LARILYA","1"
"PHYLEMP","12"
"LUZUHIT","6"
"JUNCDRU","6"
"CARECOI","6"
"LOPHVEN","10"
"CARERAY","6"
"GENTIAN","7"
"EPILANA","7"
"CLAYLAN","7"
"DRABSTE","7"
"DESCPIN","7"
"RANUESC","7"
"ARENARI","7"
"POLYLOG","9"
"OZOMTRI","7"
"RHIZNUD","9"
"EQUISCI","5"
"SALIDIS","2"
"CLADPYX","11"
"NEOOFLO","10"
"MICRINT","7"
"BALSSAG","7"
"PHILFON","9"
"RIBEHUD","4"
"SYNTRUR","9"
"CARECUS","6"
"ERIOUMB","7"
"PRUNVIR","2"
"POLYTRI","9"
"SEDULAN","7"
"VACCMYL","4"
"SAXIBRO","7"
"VEROWOR","7"
"PHACHAS","7"
"WOODSCO","5"
"PENSLYA","7"
"PETAFRI2","7"
"RANUNCU","7"
"BROMCAR","6"
"CALAMAG","6"
"FESTUCA","6"
"ASTRROB","7"
"HEDYSUL","7"
"FRAGVIR1","7"
"SYMPSUB","7"
"CLADCHL","11"
"TORTMUC","9"
"CLEMOCC2","4"
"DICRPOL","9"
"PLAGDRU","9"
"BRACOED","9"
"ELYMCAN","6"
"VIOLPRA2","7"
"ACONCOL","7"
"EQUILAE","5"
"POHLIA","9"
"PICEGLA","1"
"AGROCAP","6"
"POLYMUN","5"
"PHEGCON","5"
"VACCPAR","4"
"BLECSPI","5"
"RHIZGLB","9"
"ABIEAMA","1"
"RHYTLOR","9"
"RUBUSPE","4"
"EURHORE","9"
"ALNURUB","2"
"PICESIT","1"
"PLAGPOR","10"
"RIBEBRA","4"
"SPHAGIR","9"
"PELLNEE","10"
"LYSIAME","7"
"PRUNPEN","2"
"LATHNEV","7"
"ELYMTRA2","6"
"ARTEFRI","7"
"ELYMGLA2","6"
"ACHNOCC","6"
"KOELMAC","6"
"ARABIS","7"
"MOEHLAT","7"
"POTENTI","0"
"PHLEPRA","6"
"PRUNVUL","7"
"RHINMIN","7"
"RACOMIT","9"
"POLYDOU","7"
"DESCCES","6"
"PEDICUL","7"
"CAREMAL","6"
"CHENALB","7"
"CLADARB","11"
"CLADGRA","11"
"CLADMIT","11"
"GEOCLIV","7"
"CLADUNC","11"
"CLADCOR","11"
"STEREOC","11"
"CLADCRI","11"
"CLADRAN","11"
"PIPTPUG","6"
"PELTIGE","11"
"CLADINA","11"
"RUBUARC","12"
"EMPENIG","12"
"CARESIT","6"
"RHODGRO","3"
"SPHAGNU","9"
"GAULHIS","12"
"VACCOXY","12"
"PICEMAR","1"
"POLEACU","7"
"SOLISIM","7"
"BERBREP","3"
"MAIACAN","7"
"PLATORB","7"
"SPIRDOU","4"
"SALIPED","4"
"SALIBAC","4"
"ELYMUS","6"
"ANTENNA","7"
"SPIRXPY","4"
"CETRARE","11"
"PROSART","7"
"RUBUARC1","12"
"ALNUINC","4"
"PENSERI","7"
"HETEVIL","7"
"PHLOCAE","7"
"ENCAVUL","9"
"CALOCHO","7"
"PURSTRI","4"
"COMAUMB","7"
"FRITPUD","7"
"PHYSDOU","7"
"CIRSUND","7"
"ALYSALY","7"
"FESTCAM","6"
"CLEMLIG","4"
"ERICNAU","4"
"CREPIS","7"
"CALOMAC","7"
"DELPBIC","7"
"AGOSGLA","7"
"SILEVUL","7"
"ACHNRIC","6"
"ANTEPUL","7"
"ARNIFUL","7"
"POA","6"
"ERIGFIL","7"
"ASTRMIS","7"
"BRODCOR","7"
"ASTRPUR","7"
"POLYRAM","7"
"ERIGPUM","7"
"HESPCOM1","6"
